Heading,Source,Date,Symbol
"JM Financial expects Trent, BEL to enter Nifty50; decodes Zomato's 'addition' in the index",Business Today,11 Jun 2024,DIVISLAB
"JM Financial anticipates Trent, BEL to join Nifty50 in August indices rebalancing",Mint,11 Jun 2024,DIVISLAB
"Nifty may sport new look after Sebi's F&O tweak, expand to over 200 firms",Business Standard,28 Jun 2024,DIVISLAB
"Stock Market Highlight: Markets end record high! Nifty above 24,000, Sensex crosses 79,200 for first time ever; Bank Nifty underperforms",Financial Express,27 Jun 2024,DIVISLAB
"Share Market Highlights 18th June 2024: Sensex hits new closing peak, Nifty hits record closing high",BusinessLine,18 Jun 2024,DIVISLAB
"Stock Market highlights: Nifty may drift towards 23,160-23,100; key movement to track on Wednesday",The Economic Times,11 Jun 2024,DIVISLAB
"BEL, Trent Likely To Enter Nifty 50 List In September Rejig; Why Not Jio Financial, Zomato?",Goodreturns,12 Jun 2024,DIVISLAB
Rahul Gandhi portfolio: How Congress leader's stocks performed as market plunged. Details - Hindustan Times,Hindustan Times,5 Jun 2024,DIVISLAB
"Stock Market Highlight: Markets end higher! Nifty at 23,400, Sensex above 76,800; Nifty Midcap 100 up 450 points",Financial Express,13 Jun 2024,DIVISLAB
Digital currency transactions slump after reaching initial RBI's target,Business Standard,25 Jun 2024,DIVISLAB
